COMUNA,NEM,RANKING,LENGUAJE,MATEMATICAS,HISTORIA,CIENCIAS
ALHUE,5.768235,633.2352941176471,398.82224,438.52274,414.5926,419.57693
BUIN,5.8345838,596.3778877887788,478.75198,489.6133,481.0949,478.684
CALERA DE TANGO,6.0626335,657.846975088968,520.87805,533.7611,523.26117,537.23224
CERRILLOS,5.69529,571.2752136752136,488.1942,486.7979,479.68362,483.45578
CERRO NAVIA,5.707121,580.4606060606061,434.1129,462.51868,446.8774,422.11346
COLINA,5.9575715,561.7777777777778,503.94614,532.449,508.39026,543.1622
CONCHALI,5.74042,584.1492248062016,457.5271,453.8317,466.44354,453.1865
CURACAVI,5.877676,607.5015105740181,461.349,460.46442,461.84848,454.65216
EL BOSQUE,5.847493,602.4436141304348,486.6606,487.9975,488.75546,489.6335
EL MONTE,5.598231,567.5923076923077,423.83133,445.3012,422.95746,450.1915
ESTACION CENTRAL,5.9617167,624.6126629422719,477.61057,479.0365,481.436,473.15305
HUECHURABA,6.087496,653.9379194630873,536.3807,560.1831,527.8046,561.725
INDEPENDENCIA,5.882369,602.5146771037182,474.75494,474.2512,472.7253,480.62317
ISLA DE MAIPO,5.711144,582.6753246753246,460.73685,462.37604,457.3988,465.2114
LA CISTERNA,5.832367,606.0610186585981,476.9976,477.7315,472.2103,475.08255
LA FLORIDA,5.890092,615.7520762090865,506.7807,504.9224,510.42496,506.15317
LA GRANJA,5.7799206,598.178125,467.03082,466.51456,465.67657,464.9377
LA PINTANA,5.698012,567.6947909024211,461.7982,464.86612,462.8936,456.40207
LA REINA,6.1596603,671.8567980691874,571.24744,586.3416,566.1496,589.93555
LAMPA,5.7002683,572.8699300699301,460.34732,466.976,458.04614,456.50732
LAS CONDES,6.2166405,684.1955599085863,587.64355,606.1806,591.37976,602.45636
LO BARNECHEA,6.199961,678.861776061776,586.93256,632.1707,591.66345,600.99304
LO ESPEJO,5.679298,570.1089918256131,447.88678,466.41064,459.80475,441.65408
LO PRADO,5.761961,580.4920127795527,454.61136,456.1272,454.97223,439.25757
MACUL,5.866977,615.1792717086835,500.64648,500.43942,500.91354,505.23962
MAIPU,5.8842497,618.2310166160443,503.06424,504.684,502.08957,499.8783
MARIA PINTO,5.908421,626.6578947368421,428.50876,440.42856,437.03125,424.35715
MELIPILLA,5.761282,575.0476795931341,477.8086,482.98236,479.82965,473.80975
PADRE HURTADO,5.7532477,583.4405594405595,467.87,473.1713,465.4767,464.4056
PAINE,5.7724004,586.2578397212543,470.62418,477.70532,470.66666,465.2712
PEDRO AGUIRRE CERDA,5.682912,555.7262931034483,475.9067,476.85965,470.0492,474.3578
PEÑAFLOR,5.812676,603.9316239316239,467.16714,460.522,460.6253,474.8079
PEÑALOLEN,5.945882,622.542735042735,515.60565,526.93665,509.45145,528.4959
PIRQUE,5.6939697,563.2829268292683,461.79166,465.3253,483.01,464.2745
PROVIDENCIA,6.190033,678.951692408807,560.88074,559.21533,559.9696,570.0646
PUDAHUEL,5.807124,598.1053122087604,477.6751,487.10666,477.64136,472.37158
PUENTE ALTO,5.821461,598.4729864103414,490.11026,491.5739,491.2711,487.79385
QUILICURA,5.8606625,610.562205466541,495.36716,503.37433,490.4874,494.4158
QUINTA NORMAL,5.7288485,574.9435626102293,467.87582,468.31366,467.08502,464.4529
RECOLETA,5.788082,587.2055025266704,476.78647,480.16318,481.6433,472.51727
RENCA,5.8635945,614.375234521576,476.50754,485.6616,480.50436,468.2122
SAN BERNARDO,5.8553224,611.2672263029032,481.90363,483.4718,475.61432,478.95404
SAN JOAQUIN,5.673279,531.6573875802998,436.17392,442.29694,455.83237,438.675
SAN JOSE DE MAIPO,5.5996857,494.3184357541899,451.05927,456.59848,447.3816,449.74713
SAN MIGUEL,5.883247,612.1150922909881,484.5662,477.59714,483.77225,475.7013
SAN PEDRO,5.43825,508.175,434.33334,428.73334,454.07693,414.66666
SAN RAMON,5.599968,544.5211267605633,455.98944,464.17026,459.701,441.9269
SANTIAGO,5.970353,618.9362831858407,515.6206,509.06573,516.678,516.9126
TALAGANTE,5.921153,621.7741935483871,487.31277,496.4015,482.45938,491.17545
TILTIL,5.7465806,585.98125,435.52594,437.28787,454.2361,431.4634
VITACURA,6.3300147,704.8422205989774,605.46466,636.497,613.6694,621.3425
ÑUÑOA,5.966527,637.9503287070854,533.45544,529.72046,532.5281,536.74286
